type,Symbol,AX,reason,price,ROI,index
Exit,SQ,1/22/16,[True],10.35,0.126224157,34
Exit,SQ,3/22/16,[True],13.25,0.124787776,75
Exit,SQ,7/26/16,[True],9.77,0.079558011,162
Exit,SQ,2/24/17,[True],16.95,0.171389081,309
Exit,SQ,3/29/18,[True],47.85,-0.098020735,584
Exit,SQ,5/14/19,[True],62.99,-0.072448829,866
Exit,SHOP,8/2/17,[True],104.5,0.160982113,419
Exit,SHOP,4/19/18,[True],126.12,0.070355597,598
Exit,NET,10/4/19,[True],17.12,-0.061917808,14
Exit,NET,4/14/21,[True],77.9,0.095794064,397
Exit,NET,5/16/22,[True],64.2,0.082813291,672
Exit,NET,10/17/22,[True],48.77,-0.040149577,778
Exit,NET,12/1/22,[True],48.73,0.078335915,810
Exit,COIN,6/30/21,[True],248.3,0.079950713,53
Exit,COIN,6/22/22,[True],53.87,0.026095238,299
Exit,GTLB,1/6/22,[True],70.18,-0.125046752,57
Exit,HCP,1/31/22,[True],63.3,0.114044351,34
Exit,DLO,5/9/22,[True],19.91,-0.124450308,234
Exit,DLO,6/24/22,[True],29.15,0.171623794,266
Exit,DLO,9/27/22,[True],21.46,-0.062472696,331
Exit,DLO,11/2/22,[True],23.5,0.128180509,357
Exit,ASAN,3/4/21,[True],31.72,-0.11643454,105
Exit,ASAN,3/12/21,[True],32.69,0.040751353,111
Exit,ASAN,4/5/21,[True],31.13,0.136961286,126
Exit,W,3/22/16,[True],37,-0.158134243,75
Exit,W,9/19/16,[True],41.89,0.090885417,200
Exit,W,10/10/16,[True],38.39,-0.072705314,215
Exit,W,11/11/16,[True],35.26,0.096052223,239
Exit,W,11/14/17,[True],62.55,0.086692147,492
Exit,W,1/12/18,[True],85.07,0.083556235,532
Exit,W,3/5/18,[True],80,0.084451674,566
Exit,W,3/23/18,[True],69.05,-0.103712357,580
Exit,W,8/15/19,[True],110.3,-0.136392108,931
Exit,LAC,6/25/18,[True],5.74,0.112403101,103
Exit,LAC,11/22/19,[True],2.75,-0.098360656,460
Exit,LAC,7/1/20,[True],5.1,0.153846154,611
Exit,LAC,3/12/21,[True],16.75,0.07855763,786
Exit,LAC,1/12/22,[True],31.37,0.152884969,998
Exit,FTCH,10/15/18,[True],23.24,0.090056285,15
Exit,FTCH,8/28/19,[True],9.64,-0.081029552,233
Exit,FTCH,9/24/19,[True],8.55,-0.101890756,251
Exit,FTCH,1/3/20,[True],10.86,0.119587629,321
Exit,FTCH,3/17/20,[True],7.67,-0.131370328,371
Exit,FTCH,3/18/21,[True],60.54,0.088066139,624
Exit,FTCH,3/30/21,[True],48.85,-0.066144141,632
Exit,FTCH,2/1/22,[True],21.9,0.106060606,845
Exit,MSTR,10/31/16,[True],192.77,0.149698813,230
Exit,MSTR,4/17/17,[True],182.6553,-0.080192869,344
Exit,MSTR,8/27/18,[True],149.67,0.121964018,688
Exit,MSTR,6/19/19,[True],145.58,0.081575037,891
Exit,CVNA,10/20/17,[True],13.48,-0.095908786,121
Exit,CVNA,11/7/17,[True],16.42,0.21810089,133
Exit,CVNA,1/8/18,[True],19.7,0.084204733,174
Exit,CVNA,8/12/19,[True],77.26,0.085264784,574
